Id,Class
0,1
1,1
2,1
3,3
4,3
5,3
6,4
7,6
8,4
9,3
10,1
11,3
12,8
13,2
14,2
15,4
16,4
17,4
18,7
19,7
20,7
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,2
29,2
30,1
31,1
32,8
33,2
34,2
35,2
36,6
37,0
38,0
39,9
40,9
41,9
42,1
43,1
44,1
45,0
46,0
47,0
48,7
49,7
50,7
51,8
52,5
53,4
54,3
55,3
56,3
57,0
58,0
59,1
60,3
61,3
62,3
63,0
64,0
65,8
66,4
67,4
68,4
69,1
70,1
71,1
72,7
73,7
74,7
75,9
76,9
77,9
78,3
79,3
80,3
81,0
82,0
83,0
84,3
85,1
86,1
87,2
88,2
89,2
90,2
91,2
92,2
93,6
94,0
95,6
96,2
97,2
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,2
106,2
107,2
108,0
109,8
110,0
111,3
112,3
113,3
114,2
115,2
116,2
117,0
118,0
119,0
120,1
121,1
122,1
123,2
124,2
125,2
126,7
127,7
128,7
129,9
130,9
131,9
132,7
133,2
134,2
135,8
136,9
137,8
138,8
139,8
140,8
141,1
142,1
143,1
144,4
145,7
146,7
147,2
148,2
149,2
150,4
151,4
152,4
153,7
154,7
155,7
156,7
157,7
158,7
159,0
160,0
161,0
162,1
163,1
164,1
165,9
166,9
167,9
168,8
169,8
170,8
171,3
172,3
173,3
174,9
175,0
176,0
177,5
178,5
179,5
180,2
181,2
182,2
183,0
184,0
185,0
186,7
187,7
188,7
189,1
190,1
191,1
192,3
193,3
194,3
195,0
196,1
197,1
198,7
199,7
200,7
201,1
202,1
203,1
204,2
205,7
206,2
207,0
208,0
209,0
210,2
211,2
212,2
213,7
214,7
215,7
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,3
226,3
227,3
228,7
229,7
230,7
231,1
232,1
233,1
234,2
235,2
236,2
237,1
238,1
239,1
240,3
241,3
242,3
243,3
244,1
245,1
246,8
247,8
248,8
249,1
250,1
251,1
252,7
253,7
254,7
255,1
256,1
257,1
258,8
259,8
260,8
261,0
262,0
263,0
264,9
265,9
266,9
267,1
268,1
269,5
270,2
271,2
272,2
273,8
274,5
275,5
276,2
277,2
278,2
279,6
280,6
281,6
282,3
283,5
284,5
285,4
286,4
287,4
288,7
289,7
290,7
291,8
292,8
293,8
294,0
295,0
296,5
297,1
298,1
299,1
300,1
301,3
302,1
303,7
304,7
305,7
306,1
307,1
308,1
309,2
310,2
311,2
312,0
313,0
314,0
315,8
316,7
317,7
318,1
319,1
320,1
321,2
322,2
323,2
324,0
325,0
326,6
327,1
328,1
329,1
330,8
331,8
332,9
333,3
334,3
335,3
336,7
337,7
338,7
339,1
340,1
341,8
342,8
343,8
344,8
345,3
346,3
347,3
348,2
349,2
350,2
351,7
352,7
353,7
354,1
355,1
356,1
357,2
358,2
359,2
360,2
361,2
362,2
363,8
364,8
365,8
366,1
367,1
368,1
369,2
370,2
371,2
372,0
373,0
374,0
375,7
376,7
377,2
378,1
379,1
380,1
381,1
382,1
383,8
384,4
385,4
386,4
387,0
388,0
389,0
390,4
391,4
392,8
393,8
394,1
395,1
396,6
397,0
398,6
399,7
400,7
401,7
402,0
403,0
404,0
405,9
406,8
407,8
408,7
409,7
410,7
411,0
412,0
413,0
414,5
415,5
416,5
417,9
418,9
419,9
420,0
421,0
422,0
423,8
424,8
425,8
426,8
427,7
428,7
429,8
430,8
431,0
432,7
433,7
434,4
435,8
436,8
437,8
438,9
439,9
440,9
441,7
442,7
443,7
444,0
445,0
446,0
447,8
448,0
449,0
450,5
451,5
452,8
453,5
454,5
455,5
456,2
457,2
458,2
459,4
460,4
461,4
462,1
463,1
464,1
465,7
466,2
467,7
468,8
469,8
470,8
471,5
472,4
473,5
474,0
475,1
476,1
477,8
478,8
479,8
480,9
481,8
482,8
483,7
484,7
485,7
486,4
487,4
488,6
489,8
490,8
491,1
492,1
493,1
494,1
495,2
496,2
497,2
498,7
499,7
500,7
501,9
502,9
503,9
504,0
505,0
506,0
507,2
508,2
509,2
510,3
511,3
512,3
513,1
514,1
515,1
516,0
517,0
518,0
519,8
520,8
521,8
522,0
523,0
524,0
525,3
526,3
527,3
528,7
529,7
530,7
531,8
532,8
533,8
534,0
535,0
536,0
537,8
538,8
539,8
540,2
541,2
542,2
543,0
544,0
545,0
546,7
547,7
548,1
549,8
550,8
551,8
552,2
553,2
554,2
555,4
556,5
557,5
558,7
559,4
560,4
561,2
562,2
563,2
564,2
565,2
566,2
567,5
568,5
569,5
570,3
571,3
572,3
573,1
574,0
575,1
576,8
577,8
578,8
579,4
580,4
581,4
582,3
583,0
584,6
585,3
586,3
587,3
588,5
589,5
590,8
591,3
592,3
593,3
594,0
595,0
596,0
597,8
598,8
599,8
600,1
601,8
602,8
603,0
604,0
605,0
606,3
607,3
608,3
609,5
610,5
611,5
612,0
613,0
614,0
615,0
616,0
617,0
618,5
619,5
620,5
621,2
622,2
623,2
624,0
625,0
626,0
627,9
628,9
629,9
630,0
631,0
632,0
633,3
634,8
635,8
636,7
637,7
638,7
639,1
640,1
641,1
642,8
643,8
644,8
645,2
646,2
647,2
648,0
649,0
650,0
651,2
652,2
653,2
654,2
655,2
656,2
657,0
658,0
659,0
660,6
661,6
662,6
663,4
664,7
665,3
666,1
667,1
668,1
669,8
670,8
671,8
672,0
673,0
674,0
675,2
676,2
677,2
678,7
679,7
680,7
681,7
682,7
683,7
684,1
685,1
686,1
687,3
688,3
689,3
690,3
691,3
692,3
693,2
694,2
695,2
696,8
697,8
698,8
699,8
700,8
701,8
702,7
703,7
704,7
705,8
706,8
707,8
708,7
709,2
710,2
711,0
712,6
713,0
714,0
715,0
716,0
717,8
718,8
719,8
720,1
721,1
722,1
723,8
724,8
725,8
726,4
727,4
728,6
729,9
730,9
731,9
732,9
733,9
734,9
735,6
736,6
737,6
738,1
739,1
740,1
741,1
742,1
743,1
744,6
745,4
746,4
747,8
748,8
749,8
750,0
751,0
752,0
753,1
754,1
755,1
756,9
757,8
758,8
759,2
760,2
761,7
762,1
763,1
764,1
765,2
766,2
767,2
768,4
769,7
770,7
771,0
772,0
773,0
774,2
775,2
776,2
777,2
778,2
779,2
780,3
781,3
782,3
783,2
784,2
785,2
786,0
787,0
788,0
789,5
790,5
791,5
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,5
801,4
802,4
803,4
804,5
805,5
806,5
807,1
808,1
809,1
810,1
811,1
