Id,Class
0,1
1,1
2,6
3,7
4,5
5,0
6,7
7,1
8,1
9,2
10,0
11,2
12,6
13,9
14,1
15,0
16,6
17,9
18,3
19,1
20,8
21,0
22,0
23,1
24,7
25,9
26,3
27,0
28,0
29,7
30,2
31,6
32,2
33,1
34,1
35,7
36,0
37,3
38,0
39,0
40,0
41,2
42,7
43,9
44,2
45,8
46,8
47,1
48,0
49,0
50,4
51,6
52,7
53,0
54,9
55,9
56,8
57,3
58,0
59,8
60,0
61,0
62,7
63,1
64,3
65,0
66,2
67,1
68,9
69,6
70,2
71,7
72,1
73,0
74,1
75,8
76,7
77,0
78,2
79,1
80,3
81,1
82,8
83,8
84,7
85,1
86,8
87,0
88,9
89,1
90,2
91,1
92,2
93,4
94,3
95,6
96,7
97,8
98,0
99,1
100,3
101,6
102,0
103,2
104,6
105,9
106,1
107,2
108,6
109,1
110,8
111,8
112,3
113,0
114,8
115,8
116,2
117,6
118,1
119,2
120,2
121,8
122,1
123,3
124,0
125,2
126,1
127,1
128,1
129,0
130,0
131,1
132,6
133,0
134,0
135,9
136,7
137,0
138,5
139,8
140,6
141,8
142,7
143,0
144,7
145,8
146,9
147,3
148,0
149,0
150,5
151,5
152,7
153,7
154,6
155,2
156,8
157,8
158,0
159,1
160,0
161,7
162,6
163,0
164,0
165,2
166,0
167,9
168,0
169,2
170,3
171,1
172,0
173,8
174,0
175,3
176,0
177,8
178,0
179,9
180,2
181,0
182,3
183,3
184,2
185,0
186,0
187,2
188,2
189,5
190,8
191,0
192,8
193,0
194,0
195,3
196,8
197,3
198,0
199,6
200,8
201,0
202,1
203,1
204,0
205,0
206,5
207,2
208,6
209,9
210,0
211,8
212,3
213,1
214,6
215,2
216,0
217,7
218,0
219,0
220,6
221,7
222,7
223,8
224,0
225,2
226,7
227,7
228,7
229,0
230,3
231,8
232,1
233,6
234,7
235,8
236,7
237,6
238,0
239,0
240,1
241,6
242,4
243,9
244,8
245,6
246,1
247,3
248,6
249,8
250,6
251,1
252,9
253,2
254,1
255,2
256,0
257,0
258,2
259,3
260,3
261,2
262,0
263,5
264,3
265,1
266,1
267,0
268,5
269,1
270,1
271,1
272,0
273,5
274,8
275,7
276,9
277,2
278,1
279,5
280,2
281,3
282,0
283,2
284,0
285,6
286,0
287,7
288,6
289,2
290,8
291,1
292,9
293,1
294,8
295,6
296,8
297,0
298,2
299,1
300,5
301,9
302,1
303,7
304,2
305,4
306,4
307,3
308,6
309,3
310,0
311,1
312,1
313,9
314,6
315,1
316,5
317,8
318,9
319,1
320,0
321,5
322,4
323,3
324,0
325,0
326,2
327,3
328,1
329,8
330,1
331,3
332,5
333,7
334,5
335,5
336,8
337,8
338,1
339,0
340,8
341,1
342,7
343,2
344,8
345,8
346,0
347,2
348,8
349,3
350,0
351,3
352,1
353,0
354,3
355,2
356,3
357,0
358,1
359,0
360,5
361,2
362,3
363,8
364,9
365,7
366,7
367,2
368,0
369,8
370,4
371,0
372,1
373,8
374,0
375,9
376,7
377,0
378,8
379,6
380,2
381,9
382,3
383,3
384,3
385,8
386,7
387,0
388,0
389,0
390,4
391,3
392,7
393,0
394,9
395,8
396,0
397,7
398,8
399,5
400,4
401,9
402,0
403,1
404,1
405,0
406,2
407,7
408,1
409,2
410,2
411,7
412,8
413,1
414,0
415,2
416,8
417,2
418,6
419,0
420,3
421,0
422,5
423,8
424,7
425,6
426,0
427,4
428,3
429,6
430,6
431,7
432,7
433,0
434,8
435,3
436,8
437,0
438,7
439,0
440,0
441,8
442,2
443,8
444,7
445,4
446,8
447,0
448,3
449,9
450,0
451,1
452,8
453,1
454,1
455,2
456,2
457,2
458,0
459,8
460,2
461,9
462,8
463,2
464,0
465,3
466,0
467,7
468,3
469,3
470,1
471,9
472,3
473,9
474,8
475,0
476,8
477,1
478,8
479,2
480,8
481,3
482,3
483,7
484,2
485,0
486,1
487,1
488,6
489,0
490,3
491,0
492,7
493,7
494,3
495,7
496,7
497,6
498,5
499,9
500,0
501,0
502,0
503,1
504,1
505,9
506,0
507,1
508,8
509,7
510,2
511,7
512,2
513,6
514,1
515,7
516,8
517,2
518,0
519,6
520,1
521,2
522,0
523,8
524,3
525,1
526,0
527,6
528,8
529,8
530,1
531,1
532,0
533,2
534,0
535,8
536,0
537,0
538,0
539,1
540,3
541,9
542,7
543,0
544,6
545,2
546,7
547,6
548,6
549,1
550,0
551,0
552,6
553,7
554,1
555,1
556,5
557,5
558,0
559,0
560,8
561,1
562,0
563,0
564,8
565,2
566,0
567,0
568,8
569,9
570,8
571,1
572,3
573,8
574,6
575,6
576,2
577,8
578,7
579,1
580,5
581,9
582,3
583,6
584,5
585,6
586,0
587,3
588,9
589,2
590,9
591,7
592,8
593,7
594,8
595,3
596,0
597,8
598,3
599,7
600,1
601,1
602,0
603,0
604,7
605,0
606,8
607,8
608,8
609,2
610,2
611,1
612,1
613,0
614,1
615,7
616,0
617,6
618,7
619,7
620,0
621,3
622,3
623,0
624,0
625,1
626,0
627,9
628,0
629,3
630,9
631,0
632,1
633,7
634,0
635,1
636,0
637,3
638,1
639,0
640,0
641,0
642,6
643,0
644,2
645,5
646,7
647,5
648,9
649,8
650,5
651,0
652,7
653,3
654,0
655,2
656,0
657,4
658,6
659,0
660,8
661,1
662,3
663,2
664,8
665,8
666,7
667,8
668,0
669,2
670,0
671,0
672,1
673,1
674,6
675,9
676,1
677,3
678,0
679,1
680,0
681,7
682,3
683,2
684,3
685,7
686,5
687,1
688,0
689,8
690,3
691,8
692,0
693,1
694,5
695,7
696,0
697,9
698,7
699,0
700,7
701,0
702,1
703,2
704,3
705,0
706,8
707,5
708,7
709,0
710,1
711,0
712,8
713,6
714,9
715,8
716,6
717,0
718,2
719,0
720,2
721,1
722,2
723,2
724,3
725,0
726,2
727,7
728,0
729,2
730,3
731,1
732,1
733,3
734,2
735,2
736,8
737,0
738,9
739,7
740,6
741,2
742,8
743,1
744,3
745,2
746,8
747,0
748,0
749,8
750,8
751,9
752,1
753,1
754,1
755,9
756,0
757,6
758,4
759,1
760,1
761,7
762,8
763,8
764,0
765,9
766,3
767,2
768,2
769,2
770,1
771,2
772,1
773,1
774,0
775,1
776,3
777,7
778,0
779,8
780,6
781,0
782,0
783,0
784,2
785,0
786,0
787,9
788,9
789,9
790,1
791,2
792,2
793,0
794,0
795,3
796,3
797,6
798,6
799,9
800,1
801,8
802,6
803,5
804,2
805,0
806,2
807,8
808,0
809,7
810,8
811,3
